"TABLA 34: ""INSTITUCIONES EDUCATIVAS Y SUS CARRERAS""",,,,,Vigente a partir del 01/07/2014,,
Elaborada según el Clasificador de Instituciones de Educación Superior y Técnico Productivas (v1) y el Clasificador de Carreras de Educación Superior y Técnico productivas (v1) aprobados por el Instituto Nacional de Estadística e Informática - INEI.,,,,,,,
Abreviaturas,,,,,,,
IEST : Instituto de Educación Superior Técnologica.,,,,,,,
ISP : Instituto Superior Pedagógico.,,,,,,,
ESFA : Educación Superior de Formación Artística. ,,,,,,,
UNIV: Universidad.,,,,,,,
FFAA y Policía : Escuelas e Institutos de Educación Superior Tecnológicos de las Fuerzas Armadas y Policiales.,,,,,,,
COD. REGIMEN,DESC. REGIMEN,COD. TIPO INST.,DESC. TIPO INST.,COD.  INSTITUCIÓN,DESC. INSTITUCIÓN,COD.  CARRERA,DESC. CARRERA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,526125,MÁQUINAS NAVALES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,526145,MECÁNICA AERONAVAL
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,526205,MOTORES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011095,OPERACIONES ESPECIALES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011105,POLICÍA NAVAL
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,441145,PROCESAMIENTO DE DATOS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,337025,SECRETARIADO EJECUTIVO
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011125,SENSORES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,512075,TELEMÁTICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,714035,ENFERMERÍA TÉCNICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,526135,MECÁNICA AERONÁUTICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,526165,MECÁNICA AUTOMOTRIZ
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,526085,MANTENIMIENTO DE MAQUINARIA PESADA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,512065,TELECOMUNICACIONES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,526185,MECÁNICA DE PRODUCCIÓN
