"TABLA 30 ""OCUPACIÓN APLICABLE A LOS EMPLEADORES DEL SECTOR PRIVADO"".",,,,,,,,,,,,
"Dependiendo de la Categoría Ocupacional que se seleccione, se habilitarán los códigos de Ocupación.",,,,,,,,,,,,
(1) Código que puede ser asumido para la Categoría Ocupacional y (0) No se habilita el registro de esta Ocupación para la Categoría Ocupacional. ,,,,,,,,,,,,
Código,NOMBRE,Ejecutivo,Empleado,Obrero,,,,,,,,
217003,"ANALISTA, SISTEMAS INFORMATICOS/BANCO DE DATOS",1,1,0,,,,,,,,
217004,"ANALISTA, SISTEMAS INFORMATICOS/COMPUTADORAS",1,1,0,,,,,,,,
217005,"ANALISTA, SISTEMAS INFORMATICOS/TELECOMUNICACIONES",1,1,0,,,,,,,,
217006,"ANALISTAS, TRANSMISIONES/SISTEMAS INFORMATICOS",1,1,0,,,,,,,,
217007,"INGENIERO, SISTEMAS INFORMATICOS",1,1,0,,,,,,,,
217008,"INGENIERO, APLICACIONES DE LA INFORMATICA",1,1,0,,,,,,,,
218001,"ARQUITECTO, EDIFICIOS",1,1,0,,,,,,,,
218002,"ARQUITECTO, INTERIORES DE EDIFICIOS",1,1,0,,,,,,,,
218003,"INGENIERO, DE TRANSPORTE",1,1,0,,,,,,,,
218004,"PLANIFICADOR, TRANSITO",1,1,0,,,,,,,,
218005,URBANISTA,1,1,0,,,,,,,,
219001,INGENIERO CIVIL,1,1,0,,,,,,,,
219002,"INGENIERO CIVIL, CONSTRUCCION",1,1,0,,,,,,,,
219003,"INGENIERO CIVIL, CONSTRUCCION Y OBRAS PUBLICAS",1,1,0,,,,,,,,
219004,"INGENIERO CIVIL, CONSTRUCCION/AERODROMOS",1,1,0,,,,,,,,
219005,"INGENIERO CIVIL, CONSTRUCCION/AEROPUERTOS",1,1,0,,,,,,,,
219006,"INGENIERO CIVIL, CONSTRUCCION/CALLES",1,1,0,,,,,,,,
219007,"INGENIERO CIVIL, CONSTRUCCION/CARRETERAS Y AUTOPISTAS",1,1,0,,,,,,,,
219008,"INGENIERO CIVIL, CONSTRUCCION/CHIMENEAS DE FABRICAS",1,1,0,,,,,,,,
219009,"INGENIERO CIVIL, CONSTRUCCION/EDIFICIOS Y/O VIVIENDAS",1,1,0,,,,,,,,
219010,"INGENIERO CIVIL, CONSTRUCCION/ESTRUCTURAS DE EDIFICIOS",1,1,0,,,,,,,,
219011,"INGENIERO CIVIL, CONSTRUCCION/ESTRUCTURAS METALICAS",1,1,0,,,,,,,,
219012,"INGENIERO CIVIL, CONSTRUCCION/VIAS FERREAS",1,1,0,,,,,,,,
219013,"INGENIERO CIVIL, CONSTRUCCION/INSTALACIONES PORTUARIAS",1,1,0,,,,,,,,
219014,"INGENIERO CIVIL, CONSTRUCCION/MUELLES Y PUERTOS",1,1,0,,,,,,,,
219015,"INGENIERO CIVIL, CONSTRUCCION/PUENTES",1,1,0,,,,,,,,
219016,"INGENIERO CIVIL, CONSTRUCCION/TORRES",1,1,0,,,,,,,,
219017,"INGENIERO CIVIL, CONSTRUCCION/TUNELES",1,1,0,,,,,,,,
219018,"INGENIERO CIVIL, CONTRATISTAS DE OBRAS",1,1,0,,,,,,,,
219019,"INGENIERO CIVIL, INSPECTOR DE OBRAS",1,1,0,,,,,,,,
219020,"INGENIERO CIVIL, IRRIGACION",1,1,0,,,,,,,,
219021,"INGENIERO CIVIL, MECANICA/SUELOS",1,1,0,,,,,,,,
219022,"INGENIERO CIVIL, TRABAJOS MARITIMOS",1,1,0,,,,,,,,
219023,"INGENIERO, CANALES Y PUERTOS",1,1,0,,,,,,,,
219024,"INGENIERO, HIDRAULICO",1,1,0,,,,,,,,
219025,"INGENIERO, HIDROLOGIA",1,1,0,,,,,,,,
219026,"INGENIERO, IRRIGACION",1,1,0,,,,,,,,
219027,"INGENIERO, SANITARIO",1,1,0,,,,,,,,
221001,ELECTROTECNICO SUPERIOR,1,1,0,,,,,,,,
221002,INGENIERO ELECTRICISTA,1,1,0,,,,,,,,
221003,"INGENIERO ELECTRICISTA, ALTO VOLTAJE",1,1,0,,,,,,,,
221004,"INGENIERO ELECTRICISTA, EQUIPO ELECTROMECANICO",1,1,0,,,,,,,,
221005,"INGENIERO ELECTRICISTA, EQUIPO ELECTROMECANICO DE BAJA POTE",1,1,0,,,,,,,,
